name,location,city,state,country,start date,end date,latitude,longitude,site url,register now url,description
Portland Comic Expo,Portland Exposition Building,Portland,ME,United States,10/23/2016,,43.661471,-70.255326,http://www.portlandcomicexpo.com/,,
San Francisco Comic Con,San Francisco Marriott Marquis,San Francisco,CA,United States,09/02/2016,09/04/2016,37.774929,-122.419415,http://sanfrancomiccon.com/,,
Toronto ComiCon,Metro Toronto Convention Centre,Toronto,ON,Canada,03/18/2016,03/20/2016,43.653226,-79.383184,http://www.comicontoronto.com/,,
Shoff Promotions Comic Book and Non-Sports Card Show,Crowne Plaza Tysons Corner-Mclean,Tysons Corner,VA,United States,01/31/2016,,38.918722,-77.231093,http://shoffpromotions.com/,,
Buckeye Comic Con,Courtyard Columbus West,Columbus,OH,United States,11/20/2016,,39.956111,-82.936963,http://www.harpercomics.com/conventions.php,,
XCON World,Springmaid Beach Resort,Myrtle Beach,SC,United States,05/20/2016,05/22/2016,33.689060,-78.886694,http://www.xconworld.com/,,
3 Rivers Comicon,Century III Mall,West Mifflin,PA,United States,05/21/2016,05/22/2016,40.339689,-79.945511,http://3riverscomicon.com/,,
Toronto Comic Arts Festival,"Metropolitan Toronto Reference Library, 789 Yonge Street",Toronto,ON,Canada,05/14/2016,05/15/2016,43.653226,-79.383184,http://torontocomics.com/,,
Texas Comic Fest,Premier Event Center,Lewisville,TX,United States,05/14/2016,,33.046233,-96.994174,http://www.texascomicfest.com/,,
AMA-Con,Amarillo Civic Center,Amarillo,TX,United States,07/23/2016,07/24/2016,35.221997,-101.831297,http://ama-con.amarillolibrary.org/,,
Dover Comic Con,Dover Public Library,Dover,DE,United States,08/06/2016,,39.158168,-75.524368,http://www.cityofdover.com/Comic-Con/,,
Lexington Comic Con,,Lexington,KY,United States,03/11/2016,03/13/2016,38.040584,-84.503716,http://lexingtoncomiccon.com/,,
Central Canada Comic Con,,Winnipeg,MB,Canada,10/28/2016,10/30/2016,49.899754,-97.137494,http://www.cccomiccon.com/,,
Dallas Comic Book Show,DoubleTree by Hilton Dallas Market Center,Dallas,TX,United States,01/30/2016,01/31/2016,32.776664,-96.796988,http://comicbooksdallas.com/,,
Vermont Comiccon,Sheraton Burlington Hotel & Conference Center,Burlington,VT,United States,08/27/2016,08/28/2016,44.475882,-73.212072,http://www.vtcomiccon.com/,,
Texas Comicon,"San Antonio Event Center, 8111 Meadow Leaf Drive",San Antonio,TX,United States,07/08/2016,07/10/2016,29.528084,-98.427915,http://www.texascomicon.com/,,
"Cleveland Comic, Card and Nostalgia Show","American Legion, 22001 Brook Park Road",Cleveland,OH,United States,10/16/2016,,41.363196,-81.847557,http://www.harpercomics.com/conventions.php,,
Super Sunday Collectors Con,Atlanta Marriott Century Center/Emory Area,Atlanta,GA,United States,02/07/2016,,33.748995,-84.387982,http://supersundaycollectorscon.com/,,
Fan Expo Vancouver,Vancouver Convention Centre,Vancouver,BC,Canada,11/11/2016,11/13/2016,49.289124,-123.116498,http://www.fanexpovancouver.com/,,
BayouCon,Civic Center,Lake Charles,LA,United States,06/24/2016,06/26/2016,30.226595,-93.217376,http://www.bayoucon.net/,,
Tidewater Comicon,Crowne Plaza Virginia Beach Town Center,Virginia Beach,VA,United States,05/21/2016,05/22/2016,36.845841,-76.183276,http://www.tidewatercomicon.com/,,
Sac-Con,,Sacramento,CA,United States,03/12/2016,03/13/2016,38.581572,-121.494400,http://www.sacramentocomics.com/,,
Amazing Hawaii Comic Con,,Honolulu,HI,United States,05/20/2016,05/22/2016,21.306944,-157.858333,http://www.amazinghawaiicomiccon.com/,,
Comic Art Con,Clarion Hotel Empire Meadowlands Hotel,Secaucus,NJ,United States,04/03/2016,,40.789545,-74.056530,http://comicartshowcase.com/,,
X-TravaCon,Knights of Columbus Conference Center,Livonia,MI,United States,02/21/2016,,42.368370,-83.352710,http://www.motorcityconventions.com/,,
Cape Comic Con,Drury Lodge – Cape Girardeau,Cape Girardeau,MO,United States,04/15/2016,04/17/2016,37.305884,-89.518148,http://www.capecomiccon.com/,,
